"account_id","id","name","text_tracks[0].label","text_tracks[1].label","text_tracks[2].label","text_tracks[3].label","text_tracks[4].label","text_tracks[5].label","text_tracks[6].label","text_tracks[7].label","text_tracks[8].label","text_tracks[9].label","text_tracks[10].label","text_tracks[11].label","text_tracks[12].label","text_tracks[13].label","text_tracks[14].label","text_tracks[15].label","text_tracks[16].label","text_tracks[17].label","text_tracks[18].label"
"5152706219001","5211443790001","Instrument Insertion","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211429168001","Patient Clearance Button","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211440506001","Port Hopping","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211441492001","Remote Center","ERROR: index error using key -> text_tracks[0]","ERROR: index error using key -> text_tracks[1]","ERROR: index error using key -> text_tracks[2]","ERROR: index error using key -> text_tracks[3]","ERROR: index error using key -> text_tracks[4]","ERROR: index error using key -> text_tracks[5]","ERROR: index error using key -> text_tracks[6]","ERROR: index error using key -> text_tracks[7]","ERROR: index error using key -> text_tracks[8]","ERROR: index error using key -> text_tracks[9]","ERROR: index error using key -> text_tracks[10]","ERROR: index error using key -> text_tracks[11]","ERROR: index error using key -> text_tracks[12]","ERROR: index error using key -> text_tracks[13]","ERROR: index error using key -> text_tracks[14]","ERROR: index error using key -> text_tracks[15]","ERROR: index error using key -> text_tracks[16]","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211440511001","Sterile Stow button","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211443798001","Stow & Shutdown","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211443800001","Instrument Arm Stow","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211441498001","Instrument Arm Stow","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211452950001","Undock Arms","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211433813001","Undrape Arms","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451746001","Repositioning Hand Controls","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211443810001","Repositioning Scope","ERROR: index error using key -> text_tracks[0]","ERROR: index error using key -> text_tracks[1]","ERROR: index error using key -> text_tracks[2]","ERROR: index error using key -> text_tracks[3]","ERROR: index error using key -> text_tracks[4]","ERROR: index error using key -> text_tracks[5]","ERROR: index error using key -> text_tracks[6]","ERROR: index error using key -> text_tracks[7]","ERROR: index error using key -> text_tracks[8]","ERROR: index error using key -> text_tracks[9]","ERROR: index error using key -> text_tracks[10]","ERROR: index error using key -> text_tracks[11]","ERROR: index error using key -> text_tracks[12]","ERROR: index error using key -> text_tracks[13]","ERROR: index error using key -> text_tracks[14]","ERROR: index error using key -> text_tracks[15]","ERROR: index error using key -> text_tracks[16]","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211429178001","Connect/Disconnect Endoscope","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211452953001","Take Photo","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkey","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451747001","Take Photo","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451749001","Connecting Electrode Pad","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[16]","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211441510001","Port Insertion","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211441516001","Inspect","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451760001","Dock, Target, and Stow Arms","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451767001","Dock Cannulae","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211429195001","Retraction","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[16]","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211451770001","Cannula Exchange","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211452970001","Undocking","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-T","ERROR: index error using key -> text_tracks[16]","ERROR: index error using key -> text_tracks[17]","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211457897001","Vision Best Practices and Fogging","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","c","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211443848001","Defining Intraoperative Table Motion","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkey","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
"5152706219001","5211452980001","Table Standalone Mode","Czech","Danish","German","English","Spanish","Finnish","French","Italian","Japanese","Korean","Dutch","Norwegian","Br Portuguese","Portuguese","Swedish","Turkish","Chinese-S","Chinese-T","ERROR: index error using key -> text_tracks[18]"
